state,indicator_id,indicator,indicator_category,urban,rural,total,total_2005-06
Andaman and Nicobar Islands,46,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),Delivery Care (for births in the 5 years before the survey),99.2,96.3,97.5,
Andaman and Nicobar Islands,47,Births delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),27.4,13.9,19.3,
Andaman and Nicobar Islands,48,Births in a private health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),,*,*,
Andaman and Nicobar Islands,49,Births in a public health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),23.7,12.3,16.9,
Andaman and Nicobar Islands,50,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",Child Immunizations and Vitamin A Supplementation,-61.8,82.5,73.2,
Andaman and Nicobar Islands,51,Children age 12-23 months who have received BCG (%),Child Immunizations and Vitamin A Supplementation,-85.4,89.1,87.4,
Andaman and Nicobar Islands,52,Children age 12-23 months who have received 3 doses of polio vaccine (%),Child Immunizations and Vitamin A Supplementation,-81.1,86.1,83.9,
Andaman and Nicobar Islands,53,Children age 12-23 months who have received 3 doses of DPT vaccine (%),Child Immunizations and Vitamin A Supplementation,-77.3,88.5,83.5,
Andaman and Nicobar Islands,54,Children age 12-23 months who have received measles vaccine (%),Child Immunizations and Vitamin A Supplementation,-65.6,85.2,76.4,
Andaman and Nicobar Islands,55,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation,-81.1,84.6,83.1,
Andaman and Nicobar Islands,56,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation,75,65.2,69.3,
Andaman and Nicobar Islands,57,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation,,100,94.4,
Andaman and Nicobar Islands,58,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation,,0,5.6,
Andaman and Nicobar Islands,59,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),6.6,4.4,5.3,
Andaman and Nicobar Islands,60,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),Treatment of Childhood Diseases (children under age 5 years),,-88.8,-65,
Andaman and Nicobar Islands,61,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years),,-3.8,-8.3,
Andaman and Nicobar Islands,62,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),,-81.9,-53.5,
Andaman and Nicobar Islands,63,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),2.8,0.6,1.5,
Andaman and Nicobar Islands,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),,-64.2,75.8,
Andaman and Nicobar Islands,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,36.4,45.6,41.9,
Andaman and Nicobar Islands,66,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,,-75.4,66.8,
Andaman and Nicobar Islands,67,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,,-54.3,-45.1,
Andaman and Nicobar Islands,68,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,-13.3,13.6,13.5,
Andaman and Nicobar Islands,69,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,,-17.2,-17.6,
Andaman and Nicobar Islands,70,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,-14.3,14,14.2,
Andaman and Nicobar Islands,71,Children under 5 years who are stunted (height-for-age) (%),Child Feeding Practices and Nutritional Status of Children,17.1,27.7,23.3,
Andaman and Nicobar Islands,72,Children under 5 years who are wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,19.1,18.8,18.9,
Andaman and Nicobar Islands,73,Children under 5 years who are severely wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,4.4,9.7,7.5,
Andaman and Nicobar Islands,74,Children under 5 years who are underweight (weight-for-age) (%),Child Feeding Practices and Nutritional Status of Children,15.9,25.6,21.6,
Andaman and Nicobar Islands,75,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),10.1,15.5,13.1,
Andaman and Nicobar Islands,76,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),9,8.5,8.7,
Andaman and Nicobar Islands,77,Women who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),38.3,26.6,31.8,
Andaman and Nicobar Islands,78,Men who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),38,38.3,38.2,
Andaman and Nicobar Islands,79,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,47.7,50,49,
Andaman and Nicobar Islands,80,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults,65.2,66.2,65.8,
Andaman and Nicobar Islands,81,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,,55.8,61.4,
Andaman and Nicobar Islands,82,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults,65.4,65.9,65.7,
Andaman and Nicobar Islands,83,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults,34.7,28.2,30.8,
Andaman and Nicobar Islands,84,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,11.1,8,9.3,
Andaman and Nicobar Islands,85,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.9,4,5.2,
Andaman and Nicobar Islands,86,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,22,12.9,16.5,
Andaman and Nicobar Islands,87,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,12.9,7.2,9.5,
Andaman and Nicobar Islands,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.6,7.5,7.1,
Andaman and Nicobar Islands,89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,1.5,1.1,1.3,
Andaman and Nicobar Islands,90,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,0.7,0.6,0.6,
Andaman and Nicobar Islands,91,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,16.1,24.1,20.9,
Andaman and Nicobar Islands,92,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,3.2,3.3,3.3,
Andaman and Nicobar Islands,93,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,5.1,2.8,3.7,
Andaman and Nicobar Islands,94,Cervix (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,27,19.4,22.7,
Andaman and Nicobar Islands,95,Breast (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,12.1,12.6,12.4,
Andaman and Nicobar Islands,96,Oral cavity (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,27,20.3,23.3,
Andaman and Nicobar Islands,97,Women who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),30.6,28.2,29.3,
Andaman and Nicobar Islands,98,Men who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),53.3,37.8,44,
Andaman and Nicobar Islands,99,Women who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),62.8,57,59.5,
Andaman and Nicobar Islands,100,Men who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),77.4,73.8,75.3,
Andaman and Nicobar Islands,101,Currently married women who usually participate in household decisions (%),Women's Empowerment and Gender Based Violence (age 15-49 years),90.4,94.2,92.6,
Andaman and Nicobar Islands,102,Women who worked in the last 12 months who were paid in cash (%),Women's Empowerment and Gender Based Violence (age 15-49 years),23.7,18.9,21,
Andaman and Nicobar Islands,103,Ever-married women who have ever experienced spousal violence (%),Women's Empowerment and Gender Based Violence (age 15-49 years),19.4,17.4,18.3,
Andaman and Nicobar Islands,104,Ever-married women who have experienced violence during any pregnancy (%),Women's Empowerment and Gender Based Violence (age 15-49 years),1.7,4.2,3.2,
Andaman and Nicobar Islands,105,Women owning a house and/or land (alone or jointly with others) (%),Women's Empowerment and Gender Based Violence (age 15-49 years),26.6,32.1,29.7,
Andaman and Nicobar Islands,106,Women having a bank or savings account that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),90.6,74.9,81.8,
Andaman and Nicobar Islands,107,Women having a mobile phone that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),78.4,57.9,66.9,
Andaman and Nicobar Islands,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women's Empowerment and Gender Based Violence (age 15-49 years),93.8,87.9,90.3,
Andaman and Nicobar Islands,109,Women who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),15.3,32.7,25.1,
Andaman and Nicobar Islands,110,Men who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),63.5,60.4,61.6,
Andaman and Nicobar Islands,111,Women who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),1.2,3.5,2.5,
Andaman and Nicobar Islands,112,Men who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),58.8,46.8,51.7,
Andaman and Nicobar Islands,113,Women who tried to stop smoking or using tobacco in any other form during the past 12 months (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),14,22.1,19.9,
Andaman and Nicobar Islands,114,Men who tried to stop smoking or using tobacco in any other form (during the past 12 months) (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),-45.5,24.8,33.4,
Andaman and Nicobar Islands,23,#N/A,#N/A,35.2,43.4,39.9,
Andhra Pradesh,23,#N/A,#N/A,65.6,69.5,68.3,
Andhra Pradesh,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,74.3,56.6,62,
Andhra Pradesh,2,Population below age 15 years (%),Population and Household Profile ,23.2,23.9,23.7,
Andhra Pradesh,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,"1,027","1,018","1,020",
Andhra Pradesh,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,"1,010",880,914,
Andhra Pradesh,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,90.1,79.9,82.7,
Andhra Pradesh,6,Households with electricity (%),Population and Household Profile ,99.6,98.4,98.8,
Andhra Pradesh,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,70.7,73.6,72.7,
Andhra Pradesh,8,Households using improved sanitation facility (%),Population and Household Profile ,77.4,43.1,53.6,
Andhra Pradesh,9,Households using clean fuel for cooking (%),Population and Household Profile ,89.7,49.7,62,
Andhra Pradesh,10,Households using iodized salt (%),Population and Household Profile ,91.1,77.4,81.6,
Andhra Pradesh,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,61.1,80.5,74.6,
Andhra Pradesh,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,74.9,57.4,62.9,
Andhra Pradesh,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,90.2,73.6,79.4,
Andhra Pradesh,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,47.1,28.4,34.3,
Andhra Pradesh,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,26.3,35.5,32.7,
Andhra Pradesh,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,13.5,28.3,23.5,
Andhra Pradesh,17,Total fertility rate (children per woman),Marriage and Fertility,1.5,2,1.8,
Andhra Pradesh,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,8.8,13.2,11.8,
Andhra Pradesh,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",20,40,35,
Andhra Pradesh,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",29,45,41,
Andhra Pradesh,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),68.4,70,69.5,
Andhra Pradesh,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),68.1,70,69.4,
Andhra Pradesh,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),1.2,0.3,0.6,
Andhra Pradesh,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0.5,0.1,0.2,
Andhra Pradesh,26,Pill (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0.4,0.1,0.2,
Andhra Pradesh,27,Condom (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0.5,0,0.2,
Andhra Pradesh,28,Total unmet need (%),Unmet Need for Family Planning (currently married women age 15-49 years),6.1,4,4.7,
Andhra Pradesh,29,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15-49 years),3.9,2.8,3.1,
Andhra Pradesh,30,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services,18.2,20.4,19.7,
Andhra Pradesh,31,Current users ever told about side effects of current method (%),Quality of Family Planning Services,26.9,23.7,24.6,
Andhra Pradesh,32,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey),87.9,80.3,82.4,
Andhra Pradesh,33,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey),79.6,75.1,76.3,
Andhra Pradesh,34,Mothers whose last birth was protected against neonatal tetanus (%),Maternity Care (for last birth in the 5 years before the survey),95,95,95,
Andhra Pradesh,35,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Maternity Care (for last birth in the 5 years before the survey),55.9,56.3,56.2,
Andhra Pradesh,36,Mothers who had full antenatal care (%),Maternity Care (for last birth in the 5 years before the survey),45.4,43.3,43.9,
Andhra Pradesh,37,Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),Maternity Care (for last birth in the 5 years before the survey),88.1,94.1,92.6,
Andhra Pradesh,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Maternity Care (for last birth in the 5 years before the survey),84.7,77.8,79.7,
Andhra Pradesh,39,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),Maternity Care (for last birth in the 5 years before the survey),10.2,20.4,17.4,
Andhra Pradesh,40,Average out of pocket expenditure per delivery in public health facility (Rs.),Maternity Care (for last birth in the 5 years before the survey),"2,115","2,145","2,138",
Andhra Pradesh,41,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),Maternity Care (for last birth in the 5 years before the survey),,8.2,9.3,
Andhra Pradesh,42,Children who received a health check after birth from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of birth (%),Maternity Care (for last birth in the 5 years before the survey),30.2,27.8,28.5,
Andhra Pradesh,43,Institutional births (%),Delivery Care (for births in the 5 years before the survey),96.5,89.7,91.6,
Andhra Pradesh,44,Institutional births in public facility (%),Delivery Care (for births in the 5 years before the survey),34.8,39.6,38.3,
Andhra Pradesh,45,Home delivery conducted by skilled health personnel (out of total deliveries) (%),Delivery Care (for births in the 5 years before the survey),1.9,4.4,3.7,
Andhra Pradesh,46,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),Delivery Care (for births in the 5 years before the survey),96,90.8,92.2,
Andhra Pradesh,47,Births delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),48.4,37.1,40.1,
Andhra Pradesh,48,Births in a private health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),60.9,55.2,57,
Andhra Pradesh,49,Births in a public health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),31,23.7,25.5,
Andhra Pradesh,50,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",Child Immunizations and Vitamin A Supplementation,60.4,67.2,65.3,
Andhra Pradesh,51,Children age 12-23 months who have received BCG (%),Child Immunizations and Vitamin A Supplementation,97.7,97.1,97.3,
Andhra Pradesh,52,Children age 12-23 months who have received 3 doses of polio vaccine (%),Child Immunizations and Vitamin A Supplementation,64.9,75.2,72.3,
Andhra Pradesh,53,Children age 12-23 months who have received 3 doses of DPT vaccine (%),Child Immunizations and Vitamin A Supplementation,84.9,90.6,89,
Andhra Pradesh,54,Children age 12-23 months who have received measles vaccine (%),Child Immunizations and Vitamin A Supplementation,92,88.4,89.4,
Andhra Pradesh,55,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation,62.1,71.5,68.8,
Andhra Pradesh,56,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation,73.5,71.6,72.1,
Andhra Pradesh,57,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation,83.4,94.9,91.6,
Andhra Pradesh,58,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation,16.6,5.1,8.4,
Andhra Pradesh,59,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),5.7,6.9,6.6,
Andhra Pradesh,60,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),Treatment of Childhood Diseases (children under age 5 years),-54.9,45.3,47.6,
Andhra Pradesh,61,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years),-33.5,29.1,30.1,
Andhra Pradesh,62,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),-83.2,69.4,72.7,
Andhra Pradesh,63,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),0.9,0.4,0.5,
Andhra Pradesh,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),73.9,78.6,77.3,
Andhra Pradesh,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,43.6,38.8,40.1,
Andhra Pradesh,66,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,67,71.1,70.2,
Andhra Pradesh,67,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,-72.8,50.6,56.1,
Andhra Pradesh,68,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,7.3,6.3,6.5,
Andhra Pradesh,69,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,13.5,11,11.9,
Andhra Pradesh,70,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,9,7.1,7.6,
Andhra Pradesh,71,Children under 5 years who are stunted (height-for-age) (%),Child Feeding Practices and Nutritional Status of Children,28.3,32.5,31.4,
Andhra Pradesh,72,Children under 5 years who are wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,15.5,17.8,17.2,
Andhra Pradesh,73,Children under 5 years who are severely wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,4.8,4.4,4.5,
Andhra Pradesh,74,Children under 5 years who are underweight (weight-for-age) (%),Child Feeding Practices and Nutritional Status of Children,28.4,33.1,31.9,
Andhra Pradesh,75,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),11.5,20.3,17.6,
Andhra Pradesh,76,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),11.5,16.5,14.8,
Andhra Pradesh,77,Women who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),45.6,27.6,33.2,
Andhra Pradesh,78,Men who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),44.4,28,33.5,
Andhra Pradesh,79,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,52.4,60.8,58.6,
Andhra Pradesh,80,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults,57.2,61.5,60.2,
Andhra Pradesh,81,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,57.1,51.6,52.9,
Andhra Pradesh,82,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults,57.2,61.1,60,
Andhra Pradesh,83,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults,19.2,30.8,26.9,
Andhra Pradesh,84,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,11.1,6.9,8.2,
Andhra Pradesh,85,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.5,4.3,4.9,
Andhra Pradesh,86,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,11.3,9,9.8,
Andhra Pradesh,87,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,7.8,5,5.9,
