key,indicator,indicator_category
63,Children under age 6 months exclusively breastfed,Child Feeding Practices and Nutritional Status of Children
64,Children age 6-8 months receiving solid or semi-solid food and breastmilk,Child Feeding Practices and Nutritional Status of Children
65,Breastfeeding children age 6-23 months receiving an adequate diet,Child Feeding Practices and Nutritional Status of Children
66,Non-breastfeeding children age 6-23 months receiving an adequate diet,Child Feeding Practices and Nutritional Status of Children
67,Total children age 6-23 months receiving an adequate diet,Child Feeding Practices and Nutritional Status of Children
68,Children under 5 years who are stunted (height-for-age),Child Feeding Practices and Nutritional Status of Children
69,Children under 5 years who are wasted (weight-for-height),Child Feeding Practices and Nutritional Status of Children
70,Children under 5 years who are severely wasted (weight-for-height),Child Feeding Practices and Nutritional Status of Children
71,Children under 5 years who are underweight (weight-for-age),Child Feeding Practices and Nutritional Status of Children
72,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years) 
73,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years) 
74,Women who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years) 
75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years) 
76,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults
77,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults
78,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults
79,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults
80,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults
81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
82,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
83,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men
84,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men
85,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
86,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
87,Very high (Systolic >=180 mm of Hg and/or Diastolic >=110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women
88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men
89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men
90,Very high (Systolic >=180 mm of Hg and/or Diastolic >=110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men
91,Cervix (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of
92,Vreast (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of
93,Oral cavity (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of
